,genome_name,taxon_id,genome_status,strain,completion_date,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,additional_metadata,complete_mash_cluster,mlst,closest_genome_reference,closest_genome_taxonomy,mobile-1,mobile-4,mobile-2,mobile-3,mobile-10,mobile-7,mobile-6,mobile-5,mobile-8,mobile-9,roggenkampii,asburiae-1,asburiae-2,cancerogenous,kobei,bugandensis,mori,ludwigii,cloacae,hormaechei-steigerwaltii-2,hormaechei-steigerwaltii-4,hormaechei-steigerwaltii-1,hormaechei-steigerwaltii-3,hormaechei-hoffmannii-1,hormaechei-hoffmannii-2,hormaechei-hoffmannii-3,hormaechei-hormaechei,hormaechei-oharae,hormaechei-xiangfangensis-2,hormaechei-xiangfangensis-1,hormaechei-xiangfangensis-3,phylon_list
GCA_042710995.2,Enterobacter roggenkampii,1812935,Complete,,2025-02-11,PRJNA288601,SAMN44063878,GCA_042710995.2,SAMN44063878,Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion,OK,Oxford Nanopore GridION; Illumina MiSeq,,ASM4271099v2,1,0,1,4761496,56.0,,4404.0,urine,2024-09-14,USA,USA,Homo sapiens,,17.0,-1,GCF_001729805.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter roggenkampii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roggenkampii
158836.1072,Enterobacter hormaechei strain 14280161202,158836,Complete,14280161202,2021-02-11T00:00:00Z,PRJNA576640,SAMN12999974,GCA_016864135.1,CP045450,University Medical Center Groningen,Complete,Illumina MiSeq; Oxford Nanopore MiniION,118.0x,CLC Genomics Workbench v. 11; Unicycler,1,0,1,4662942,55.684223,4377,,,2014,Netherlands,Netherlands: Groningen,Homo sapiens,sample_type:bone infection,12.0,1019,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hormaechei-steigerwaltii-1
GCA_041004125.1,Enterobacter hormaechei W180,158836,Complete,W180,2024-08-01,PRJNA1135755,SAMN42440403,GCA_041004125.1,SAMN42440403,Second Affliated Hospital of Kunming Medical University,OK,Oxford Nanopore,,W180,1,5,6,5036820,55.0,,4676.0,whole blood,2020-05,China,China:Kunming,Homo sapiens,,4.0,-1,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-3;mobile-5
550.2251,Enterobacter cloacae strain EN3600,550,Complete,EN3600,2019-02-09T00:00:00Z,PRJNA517781,SAMN10844942,GCA_004151605.1,"CP035633,CP035634,CP035635,CP035636,CP035637,CP035638","The First Affiliated Hospital, School of Medicine, Zhejiang University",Complete,PacBio,100X,HGAP v. 2,1,5,6,5484425,55.00039,5653,5488,blood,2015-05,China,China:Anhui,"Human, Homo sapiens",collected_by:Yuanyuan Dai,22.0,25,GCF_007035645.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter asburiae_B,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-7;asburiae-1
208224.123,Enterobacter kobei strain IB2020,208224,Complete,IB2020,2020-08-02T00:00:00Z,PRJNA647675,SAMN15594913,GCA_014041955.1,"CP059481,CP059482,CP059480,CP059483,CP059484,CP059485,CP059486",Charles University in Prague,Complete,PacBio Sequel,384.0x,Microbial Assembly v. SMRT Link v.9,1,6,7,5419765,54.6096,5425,5175,rectal swab,2019-12-14,Italy,Italy: Modena,"Human, Homo sapiens",collected_by:Agostino-Estense-Baggiovara Hospital,13.0,54,GCF_001729765.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-7;kobei
2850078.3,Enterobacter cloacae complex sp. ECL72,2850078,Complete,ECL72,2021-06-29T00:00:00Z,PRJNA737181,SAMN19769864,GCA_019056635.1,CP077659,Yongchuan Hospital of Chongqing Medical University,Complete,Illumina; Oxford Nanopore,1040.0x,canu v. 1.6,1,0,1,4851460,55.41565,4692,,sputum,2019-02-16,China,"China:Yongchuan District,Chongqing",,sample_type:metagenomic assembly,10.0,177,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hormaechei-steigerwaltii-3
208224.147,Enterobacter kobei strain STW0522-60,208224,Complete,STW0522-60,2020-10-09T00:00:00Z,PRJDB9036,SAMD00195900,GCA_015135855.1,"AP022446,AP022447,AP022448,AP022449,AP022450,AP022451","Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",Complete,Sequel; NextSeq 500,409x,flye v. 2.5; minimap v. 0.2-r124; racon v.,1,5,6,5412308,54.514526,5383,5232,hospital sewage,2018-05-22,Japan,Japan:Tokyo,,,13.0,520,GCF_001729765.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-7;kobei
550.2797,Enterobacter cloacae strain DSM 30054,550,Complete,DSM 30054,2020-06-30T00:00:00Z,PRJNA640151,SAMN15299128,GCA_013376815.1,"CP056776,CP056777,CP056778",EPFL,Complete,PacBio Sequel,295.0x,CANU v. 2.0,1,2,3,5602610,54.593323,5658,5381,,,,,,sample_type:bacterial culture,33.0,1,GCF_000025565.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-4;mobile-10;cloacae
GCA_040834085.1,Enterobacter cloacae STK66-C,550,Complete,STK66-C,2024-07-24,PRJNA1134078,SAMN42392505,GCA_040834085.1,SAMN42392505,University of Zurich,OK,"Illumina MiniSeq, Oxford Nanopore",,ASM4083408v1,1,0,1,4994650,55.0,,4568.0,"Coriander, import product",2023,Switzerland,Switzerland,,,34.0,-1,GCF_000025565.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-5;cloacae
GCA_047302705.1,Enterobacter hormaechei subsp. xiangfangensis HD2649,1296536,Complete,HD2649,2025-01-29,PRJNA993565,SAMN36468341,GCA_047302705.1,SAMN36468341,The Second Affiliated Hospital of Soochow University,OK,nanopore,,ASM4730270v1,1,2,3,5177142,55.0,,4810.0,blood,2017,China,"China:Sichuan,chengdu",Homo sapiens,,10.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-9;hormaechei-steigerwaltii-3
GCA_050572375.1,Enterobacter hormaechei subsp. xiangfangensis 120030,1296536,Complete,120030,2025-05-26,PRJNA450216,SAMN38505510,GCA_050572375.1,SAMN38505510,"West China Hospital, Sichuan University",OK,Illumina NovaSeq; Oxford Nanopore MinION,,ASM5057237v1,1,5,6,5065120,55.0,,4815.0,blood,2018-12-19,China,"China: Chengdu, Sichuan",Homo sapiens,,5.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,mobile-2;mobile-6;hormaechei-xiangfangensis-1
158836.784,Enterobacter hormaechei strain RHBSTW-00133,158836,Complete,RHBSTW-00133,2020-07-24T00:00:00Z,PRJNA605147,SAMN15148505,GCA_013624995.1,"CP058146,CP058147,CP058148",University of Oxford,Complete,Hybrid: Illumina and OXFORD_NANOPORE,102.817258643714x,Unicycler v. v0.4.7,1,2,3,5086008,55.01446,4964,4799,Wastewater influent sample,2017,United Kingdom,United Kingdom,,"sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",3.0,286,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hormaechei-hoffmannii-2
208224.145,Enterobacter kobei strain STW0522-51,208224,Complete,STW0522-51,2020-10-09T00:00:00Z,PRJDB9036,SAMD00195891,GCA_015135595.1,"AP022431,AP022432,AP022433,AP022434,AP022435,AP022436,AP022437","Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",Complete,Sequel; NextSeq 500,315x,flye v. 2.5; minimap v. 0.2-r124; racon v.,1,6,7,5163318,54.843765,5064,4948,hospital sewage,2018-05-22,Japan,Japan:Tokyo,,,13.0,770,GCF_001729765.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-10;mobile-6;kobei
299767.208,Enterobacter ludwigii strain FDAARGOS_1498 strain Not applicable,299767,Complete,Not applicable,2021-09-23T00:00:00Z,PRJNA231221,SAMN21218854,GCA_020099215.1,CP083640,US Food and Drug Administration,Complete,Pacbio; Illumina,1069.99x,"SMRT v. 9.0.0, HGAP v. 4.0",1,0,1,4730711,54.730824,4541,4416,,,Germany,Germany: Braunschweig,,collected_by:DSMZ,32.0,-1,GCF_001750725.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter ludwigii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ludwigii
GCA_041378885.1,Enterobacter hormaechei 17CRE03,158836,Complete,17CRE03,2024-08-20,PRJNA791797,SAMN42901643,GCA_041378885.1,SAMN42901643,China Medical University,OK,Illumina MiSeq; Oxford Nanopore MinION,,ASM4137888v1,1,5,6,5023766,55.0,,4695.0,blood,2017-05-09,Taiwan,Taiwan: Taichung,Homo sapiens,,1.0,-1,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-2;mobile-3;mobile-10;hormaechei-hoffmannii-1
GCA_030847725.1,Enterobacter hormaechei Ehh_11,158836,Complete,Ehh_11,2023-08-21,PRJNA976530,SAMN35394394,GCA_030847725.1,SAMN35394394,University of Bern,OK,Illumina; Oxford Nanopore,,ASM3084772v1,1,3,4,5395353,55.0,,5039.0,lower respiratory tract,2020-06-17,Switzerland,Switzerland,Homo sapiens,,12.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-3;mobile-8
GCA_051549645.1,Enterobacter hormaechei EN2209347,158836,Complete,EN2209347,2025-07-28,PRJNA1219142,SAMN46544989,GCA_051549645.1,SAMN46544989,University of Galway,OK,Illumina MiSeq; Oxford Nanopore MinION,,ASM5154964v1,1,3,4,5004895,55.0,,4670.0,missing,2022-08,Ireland,Ireland,Homo sapiens,,5.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,mobile-1;hormaechei-xiangfangensis-1
GCA_052039465.1,Enterobacter asburiae NY14333,61645,Complete,NY14333,2025-08-13,PRJNA1191198,SAMN45071223,GCA_052039465.1,SAMN45071223,Academy of Military Medical Science,OK,PacBio RSII,,ASM5203946v1,1,2,3,5302750,55.5,,5046.0,sputum,2016,China,China: Beijing,Homo sapiens,,25.0,-1,GCF_002208095.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asburiae-2
2497436.25,Enterobacter quasiroggenkampii WS12-3,2497436,Complete,WS12-3,2023-04-03T00:00:00Z,PRJNA895834,SAMN31525164,,CP110533,,,Illumina NovaSeq; Oxford Nanopore,645.0x,unicycler v. v0.4.8,1,0,1,4712313,55.927418,4436,4343,natural water sources by community and farm,2022-05-01,Thailand,Thailand: Ratchaburi,,collected_by:Chulalongkorn University,19.0,-1,GCF_001039365.2,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter quasiroggenkampii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GCA_038418305.2,Enterobacter hormaechei 2024CK-00459,158836,Complete,2024CK-00459,2024-06-10,PRJNA812595,SAMN41020283,GCA_038418305.2,SAMN41020283,Utah Public Health Laboratory Infectious Disease submission group,OK,Oxford Nanopore GridION; Illumina MiSeq,,ASM3841830v2,1,5,6,5000145,55.0,,4661.0,other,2024-03-28,USA,USA,Homo sapiens,,7.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mobile-4;mobile-2;hormaechei-xiangfangensis-3
GCA_043973395.1,Enterobacter hormaechei ECC-026,158836,Complete,ECC-026,2024-10-28,PRJNA1067818,SAMN39551823,GCA_043973395.1,SAMN39551823,National Health Research Institutes,OK,Oxford Nanopore GridION and Illumina NovaSeq,,ASM4397339v1,1,2,3,4742212,55.0,,4426.0,other,2022-07-11,Taiwan,Taiwan,Homo sapiens,,8.0,-1,GCF_001875655.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mobile-5;mobile-9;hormaechei-hormaechei
158836.1381,Enterobacter hormaechei strain Colony257,158836,Complete,Colony257,2021-11-14T00:00:00Z,PRJNA668870,SAMN17833488,GCA_020861325.1,CP086330,Ministry of Public Health-Thailand,Complete,Illumina HiSeq,68.925x,idba_ud v. V1.1.3,1,0,1,4546642,55.904057,4046,,food,,Thailand,Thailand: Narathiwas,,"collected_by:Department of Disease Control, Ministry of Public Health",7.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
158836.282,Enterobacter hormaechei strain S11_16,158836,Complete,S11_16,2019-01-30T00:00:00Z,PRJNA515436,SAMN10755318,GCA_004118875.1,"CP035385,CP035386,CP035387,CP035388,CP035389",University of Birmingham,Complete,Illumina; Oxford Nanopore,100.0x,Unicycler v. 0.4.7,1,4,5,5038853,55.107403,4980,4852,,2016,United Kingdom,United Kingdom,"Human, Homo sapiens",collected_by:S. Dunn,4.0,-1,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-7
158836.1074,Enterobacter hormaechei strain 14320055602,158836,Complete,14320055602,2021-02-11T00:00:00Z,PRJNA576640,SAMN12999995,GCA_016864155.1,CP045451,University Medical Center Groningen,Complete,Illumina MiSeq; Oxford Nanopore MiniION,115.0x,CLC Genomics Workbench v. 11; Unicycler,1,0,1,4583965,55.761093,4272,,,2014,Netherlands,Netherlands: Groningen,Homo sapiens,sample_type:bone infection,12.0,150,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-5
1296536.151,Enterobacter hormaechei subsp. xiangfangensis OSUCZKPC4-10,1296536,Complete,OSUCZKPC4-10,2022-02-23T00:00:00Z,PRJNA686409,SAMN17117768,GCA_023052915.1,"CP067107,CP067108,CP067110,CP067109,CP067111",,Complete,PacBio,100.0x,Unicycler v. 4.8,1,4,5,5377536,54.597794,5509,5207,Zoological Institution,2016,USA,USA: Ohio,Environmental surface,sample_type:Genomic DNA,6.0,171,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,mobile-1;mobile-2;hormaechei-xiangfangensis-2
GCA_045689375.1,Enterobacter hormaechei 2023CK-01313,158836,Complete,2023CK-01313,2023-12-20,PRJNA812595,SAMN38122031,GCA_045689375.1,SAMN38122031,Utah Public Health Laboratory Infectious Disease submission group,OK,Illumina MiSeq; Oxford Nanopore GridION,,ASM4568937v1,1,4,5,4825205,55.5,,4466.0,Wound/Abscess,2023-10-02,USA,USA,Homo sapiens,,5.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,hormaechei-xiangfangensis-1
GCA_039623865.1,Enterobacter asburiae WUM-UW/843,61645,Complete,WUM-UW/843,2024-05-13,PRJNA921853,SAMN32635504,GCA_039623865.1,SAMN32635504,"University of Warsaw, Faculty of Biology, Institute of Microbiology",OK,Illumina MiSeq; Oxford Nanopore GridION,,ASM3962386v1,1,2,3,5315504,55.0,,4919.0,"urine, neonate",2013-06-07,Poland,Poland: Warsaw,Homo sapiens,,23.0,-1,GCF_007035645.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter asburiae_B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-8;asburiae-1
1827481.3,Enterobacter sp. ODB01,1827481,Complete,ODB01,2016-04-19T00:00:00Z,PRJNA317796,SAMN04624399,GCF_001623605.1,CP015227,Hunan Agricultural University,Complete,PacBio,,HGAP v. 2.3.0,,,1,4534036,54.81,4331,4178,crude oil-contaminated soil,2014-09-01,China,China,,,13.0,56,GCF_001729765.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kobei
61645.702,Enterobacter asburiae 2022CK-00757,61645,Complete,2022CK-00757,2023-02-15T00:00:00Z,PRJNA812595,SAMN32733969,,"CP117723,CP117724,CP117725,CP117726,CP117727",,,Illumina MiSeq; Oxford Nanopore GridION,90.0x,Unicycler v. 0.5.0,1,4,5,4986935,55.596214,4844,4716,Rectal Swab,2022-11-16,USA,USA,Homo sapiens,,21.0,484,GCF_007035645.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter asburiae_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-8;asburiae-1
158836.1458,Enterobacter hormaechei M1,158836,Complete,M1,2022-01-18T00:00:00Z,PRJNA796381,SAMN24852042,GCA_021496135.1,"CP090909,CP090910",,Complete,Oxford Nanopore,100.0x,Canu v. 1.5,1,1,2,4806834,55.401413,4599,4472,Chicken feed,2021-01-15,China,China:Hubei,,sample_type:sing cell,7.0,1736,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mobile-4;mobile-5;hormaechei-xiangfangensis-3
158836.2354,Enterobacter hormaechei RHB44-SE-C02,158836,Complete,RHB44-SE-C02,2023-04-13T00:00:00Z,PRJNA605147,SAMN15488670,,"CP099316,CP099317",,,Illumina/Nanopore,202x,Unicycler v. v0.4.4,1,1,2,4822539,55.542877,4675,4545,Pooled sediment sample collected from floor of poultry farm,2017,United Kingdom,United Kingdom,,"sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",12.0,864,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-10;hormaechei-steigerwaltii-3
